route,app,auth,component,component_file,hooks,tables,rls,tables_via_shared,rpcs,edge_fns,edge_fn_deployed,tenant_scoped,files_walked,unresolved_from,verdict,note
/admin/sub-organizations,bsu,authenticated,AdminSubOrganizations,business-suite-unified/src/pages/Admin/SubOrganizations.tsx,useAuth useMutation usePermissions useQuery useQueryClient,audit_logs bi_metrics profiles subscriptions tenant_invitations tenants user_tenants,audit_logs=RLS_ON_OWNER_SCOPED bi_metrics=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_invitations=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,create_organization_with_owner find_orphan_owned_tenants_for_caller,send-team-invite,send-team-invite=true create-subscription=true stripe-portal=true,yes,17,0,OK,
/admin/team-members,bsu,authenticated,AdminTeamMembers,business-suite-unified/src/pages/Admin/TeamMembers.tsx,useAuth useMutation usePermissions useQuery useQueryClient useSubscription,profiles subscriptions team_invitations team_members teams user_tenants,profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED team_invitations=RLS_ON_OWNER_SCOPED team_members=RLS_ON_OWNER_SCOPED teams=RLS_ON_OWNER_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,invite_team_member_guarded,send-team-invite,send-team-invite=true create-subscription=true stripe-portal=true,yes,27,0,OK,
/analytics,bsu,authenticated,Analytics,business-suite-unified/src/pages/Analytics.tsx,useAuth useEditorProbeAck usePermissions useQuery,bi_metrics profiles subscriptions user_preferences user_tenants,bi_metrics=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_preferences=RLS_ON_OWNER_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,create-subscription=true stripe-portal=true,yes,27,1,OK,
/auth/callback,bsu,public,AuthCallback,business-suite-unified/src/pages/auth/AuthCallback.tsx,,,,,,,,n/a,4,0,NO_DATA_PATH,"static route: no table, rpc or edge function reachable in 4 files"
/auth/login,bsu,public,AuthScreen,business-suite-unified/src/components/auth/AuthScreen.tsx,useAuth,profiles subscriptions user_tenants,profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,,yes,23,0,OK,
/auth/reset-password,bsu,public,ResetPassword,business-suite-unified/src/pages/auth/ResetPassword.tsx,useAuth,profiles subscriptions user_tenants,profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,,yes,8,0,OK,
/billing,bsu,authenticated,Billing,business-suite-unified/src/pages/Billing.tsx,useAuth useEditorProbeAck usePermissions useQuery useQueryClient useSubscription,billing_events profiles subscriptions user_preferences user_tenants,billing_events=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_preferences=RLS_ON_OWNER_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,create-subscription stripe-portal,create-subscription=true stripe-portal=true,yes,27,1,OK,
/branding,bsu,authenticated,Branding,business-suite-unified/src/pages/Branding.tsx,useAuth useBranding useEditorProbeAck usePermissions useQueryClient useTenantBranding useTenantSettings,platform_branding profiles subscriptions tenant_app_branding tenant_branding tenant_settings user_preferences user_tenants,platform_branding=RLS_ON_PERMISSIVE profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_app_branding=RLS_ON_TENANT_SCOPED tenant_branding=RLS_ON_TENANT_SCOPED tenant_settings=RLS_ON_TENANT_SCOPED user_preferences=RLS_ON_OWNER_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,create-subscription=true stripe-portal=true,yes,35,1,OK,
/design-studio,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/developer/*,bsu,authenticated,DeveloperPortal,business-suite-unified/src/pages/Developer/index.tsx,useAuth useBranding useCustomPages useDbNavRows useEditorProbeAck useFeatureBuilderStore useLeadRoutingStore useMutation usePermissions useQuery useQueryClient useResolvedTenantId useSensor useSensors useSortable useSystemNoticesStore useTenantSettings,applications audit_logs bi_metrics custom_pages email_messages enterprise_licence_events feature_builder_drafts lead_routing_defaults lead_routing_rules leads page_sections platform_api_keys platform_branding platform_rate_limits platform_webhooks profiles profiles_privileged_audit report_catalog_entities subscriptions system_notices tenant_features tenant_invitations tenant_navigation tenant_settings tenants user_preferences user_tenants,applications=RLS_ON_ROLE_OR_OTHER audit_logs=RLS_ON_OWNER_SCOPED bi_metrics=RLS_ON_TENANT_SCOPED custom_pages=RLS_ON_MIXED email_messages=RLS_ON_TENANT_SCOPED enterprise_licence_events=RLS_ON_TENANT_SCOPED feature_builder_drafts=RLS_ON_OWNER_SCOPED lead_routing_defaults=RLS_ON_TENANT_SCOPED lead_routing_rules=RLS_ON_TENANT_SCOPED leads=RLS_ON_TENANT_SCOPED page_sections=RLS_ON_ROLE_OR_OTHER platform_api_keys=RLS_ON_TENANT_SCOPED platform_branding=RLS_ON_PERMISSIVE platform_rate_limits=RLS_ON_TENANT_SCOPED platform_webhooks=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED profiles_privileged_audit=RLS_ON_ROLE_OR_OTHER report_catalog_entities=RLS_ON_TENANT_SCOPED subscriptions=RLS_ON_TENANT_SCOPED system_notices=RLS_ON_TENANT_SCOPED tenant_features=RLS_ON_TENANT_SCOPED tenant_invitations=RLS_ON_TENANT_SCOPED tenant_navigation=RLS_ON_TENANT_SCOPED tenant_settings=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED user_preferences=RLS_ON_OWNER_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,apprentice_placements apprentices employers feature_migration_log training_providers,create_organization_with_owner find_orphan_owned_tenants_for_caller is_feature_enabled platform_oauth_clients report_catalog_approve_entity,calendar-integration email-dispatcher feature-builder-export generate-document lead-capture platform-kit-proxy rate-limit-check send-notification send-team-invite set-platform-role stripe-webhook tga-search update-seat-count,calendar-integration=true email-dispatcher=true feature-builder-export=true generate-document=true lead-capture=true platform-kit-proxy=true rate-limit-check=true send-notification=true send-team-invite=true set-platform-role=true stripe-webhook=true tga-search=true update-seat-count=true create-subscription=true db-console-migration-export=true feature-builder-ai=true stripe-portal=true,yes,156,4,OK,
/developer/access,bsu,authenticated,DeveloperAccessControl,business-suite-unified/src/pages/Developer/AccessControl.tsx,useAuth useMutation useQuery useQueryClient,platform_api_keys platform_webhooks profiles profiles_privileged_audit subscriptions user_tenants,platform_api_keys=RLS_ON_TENANT_SCOPED platform_webhooks=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED profiles_privileged_audit=RLS_ON_ROLE_OR_OTHER subscriptions=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,set-platform-role,set-platform-role=true,yes,24,0,OK,
/developer/branding,bsu,authenticated,DeveloperBranding,business-suite-unified/src/pages/Developer/Branding.tsx,useBranding,platform_branding,platform_branding=RLS_ON_PERMISSIVE,,,,,n/a,17,0,OK,
/developer/database,bsu,authenticated,DeveloperDatabase,business-suite-unified/src/pages/Developer/Database/index.tsx,useMutation useQuery useQueryClient,report_catalog_entities,report_catalog_entities=RLS_ON_TENANT_SCOPED,,report_catalog_approve_entity,db-console-migration-export platform-kit-proxy,db-console-migration-export=true platform-kit-proxy=true,yes,32,1,OK,
/developer/embed,bsu,authenticated,DeveloperEmbed,business-suite-unified/src/pages/Developer/Embed.tsx,useQuery,tenants,tenants=RLS_ON_TENANT_SCOPED,,,,,n/a,9,0,OK,
/developer/feature-builder,bsu,authenticated,DeveloperFeatureBuilder,business-suite-unified/src/pages/Developer/FeatureBuilder/index.tsx,useAuth useEntityGeneration useFeatureBuilderStore,apprentice_placements apprentices employers feature_builder_drafts feature_migration_log profiles subscriptions tenants training_providers user_tenants,apprentice_placements=RLS_ON_TENANT_SCOPED apprentices=RLS_ON_TENANT_SCOPED employers=RLS_ON_TENANT_SCOPED feature_builder_drafts=RLS_ON_OWNER_SCOPED feature_migration_log=RLS_ON_OWNER_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED training_providers=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,apply_feature_migration is_feature_enabled report_catalog_propose_entity rollback_feature_migration,feature-builder-ai feature-builder-export,feature-builder-ai=true feature-builder-export=true platform-kit-proxy=true,yes,59,1,OK,
/developer/features,bsu,authenticated,DeveloperFeatures,business-suite-unified/src/pages/Developer/Features.tsx,useMutation useQuery useQueryClient,audit_logs bi_metrics custom_pages profiles tenant_features tenant_invitations tenants user_tenants,audit_logs=RLS_ON_OWNER_SCOPED bi_metrics=RLS_ON_TENANT_SCOPED custom_pages=RLS_ON_MIXED profiles=RLS_ON_OWNER_SCOPED tenant_features=RLS_ON_TENANT_SCOPED tenant_invitations=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,create_organization_with_owner find_orphan_owned_tenants_for_caller is_feature_enabled,send-team-invite,send-team-invite=true,yes,13,0,OK,
/developer/functions,bsu,authenticated,DeveloperFunctions,business-suite-unified/src/pages/Developer/Functions.tsx,useAuth useQuery,applications custom_pages email_messages lead_routing_defaults lead_routing_rules leads page_sections platform_branding platform_rate_limits profiles subscriptions system_notices tenant_features tenant_navigation tenant_settings tenants user_tenants,applications=RLS_ON_ROLE_OR_OTHER custom_pages=RLS_ON_MIXED email_messages=RLS_ON_TENANT_SCOPED lead_routing_defaults=RLS_ON_TENANT_SCOPED lead_routing_rules=RLS_ON_TENANT_SCOPED leads=RLS_ON_TENANT_SCOPED page_sections=RLS_ON_ROLE_OR_OTHER platform_branding=RLS_ON_PERMISSIVE platform_rate_limits=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED system_notices=RLS_ON_TENANT_SCOPED tenant_features=RLS_ON_TENANT_SCOPED tenant_navigation=RLS_ON_TENANT_SCOPED tenant_settings=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,apprentice_placements apprentices audit_logs bi_metrics employers enterprise_licence_events feature_builder_drafts feature_migration_log platform_api_keys platform_webhooks profiles_privileged_audit report_catalog_entities tenant_invitations training_providers user_preferences,is_feature_enabled,calendar-integration email-dispatcher generate-document lead-capture platform-kit-proxy rate-limit-check send-notification stripe-webhook tga-search update-seat-count,calendar-integration=true email-dispatcher=true generate-document=true lead-capture=true platform-kit-proxy=true rate-limit-check=true send-notification=true stripe-webhook=true tga-search=true update-seat-count=true db-console-migration-export=true feature-builder-ai=true feature-builder-export=true send-team-invite=true set-platform-role=true,yes,152,4,OK,
/developer/functions/:slug,bsu,authenticated,DeveloperFunctionDetail,business-suite-unified/src/pages/Developer/FunctionDetail.tsx,useMutation useQuery useQueryClient,,,applications audit_logs bi_metrics custom_pages email_messages enterprise_licence_events feature_builder_drafts lead_routing_defaults lead_routing_rules leads page_sections platform_api_keys platform_branding platform_rate_limits platform_webhooks profiles profiles_privileged_audit report_catalog_entities subscriptions system_notices tenant_features tenant_invitations tenant_navigation tenant_settings tenants user_preferences user_tenants,,platform-kit-proxy,platform-kit-proxy=true calendar-integration=true email-dispatcher=true feature-builder-export=true generate-document=true lead-capture=true rate-limit-check=true send-notification=true send-team-invite=true set-platform-role=true stripe-webhook=true tga-search=true update-seat-count=true,n/a,114,3,OK,
/developer/functions/new,bsu,authenticated,DeveloperFunctionDetail,business-suite-unified/src/pages/Developer/FunctionDetail.tsx,useMutation useQuery useQueryClient,,,applications audit_logs bi_metrics custom_pages email_messages enterprise_licence_events feature_builder_drafts lead_routing_defaults lead_routing_rules leads page_sections platform_api_keys platform_branding platform_rate_limits platform_webhooks profiles profiles_privileged_audit report_catalog_entities subscriptions system_notices tenant_features tenant_invitations tenant_navigation tenant_settings tenants user_preferences user_tenants,,platform-kit-proxy,platform-kit-proxy=true calendar-integration=true email-dispatcher=true feature-builder-export=true generate-document=true lead-capture=true rate-limit-check=true send-notification=true send-team-invite=true set-platform-role=true stripe-webhook=true tga-search=true update-seat-count=true,n/a,114,3,OK,
/developer/licences,bsu,authenticated,DeveloperLicences,business-suite-unified/src/pages/Developer/Licences.tsx,useAuth useMutation useQuery useQueryClient,audit_logs bi_metrics enterprise_licence_events profiles subscriptions tenant_invitations tenants user_tenants,audit_logs=RLS_ON_OWNER_SCOPED bi_metrics=RLS_ON_TENANT_SCOPED enterprise_licence_events=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_invitations=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,create_organization_with_owner find_orphan_owned_tenants_for_caller,send-team-invite update-seat-count,send-team-invite=true update-seat-count=true,yes,18,0,OK,
/developer/logs,bsu,authenticated,DeveloperLogs,business-suite-unified/src/pages/Developer/Logs.tsx,useQuery,,,,,platform-kit-proxy,platform-kit-proxy=true,n/a,8,0,OK,
/developer/marketing,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/developer/nav,bsu,authenticated,DeveloperNav,business-suite-unified/src/pages/Developer/Nav.tsx,useAuth useSensor useSensors useSortable,custom_pages profiles subscriptions tenant_navigation user_tenants,custom_pages=RLS_ON_MIXED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_navigation=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,,yes,19,0,OK,
/developer/notices,bsu,authenticated,DeveloperNotices,business-suite-unified/src/pages/Developer/Notices.tsx,useAuth useMutation useQuery useQueryClient useSystemNoticesStore,profiles subscriptions system_notices tenants user_tenants,profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED system_notices=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,,yes,16,0,OK,
/developer/platform,bsu,authenticated,DeveloperPlatform,business-suite-unified/src/pages/Developer/Platform.tsx,useQuery useQueryClient,tenants,tenants=RLS_ON_TENANT_SCOPED,,,platform-kit-proxy,platform-kit-proxy=true,n/a,10,0,OK,
/developer/platform-kit,bsu,authenticated,PlatformKitHub,business-suite-unified/src/pages/Admin/PlatformKit.tsx,useAuth usePermissions,profiles subscriptions user_tenants,profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,create-subscription=true stripe-portal=true,yes,18,0,OK,
/developer/platform-kit/auth,bsu,authenticated,PlatformKitAuth,business-suite-unified/src/pages/Admin/PlatformKitAuthRoute.tsx,useAuth useMutation usePermissions useQuery useQueryClient,profiles subscriptions user_tenants,profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,platform-kit-proxy,platform-kit-proxy=true create-subscription=true stripe-portal=true,yes,25,0,OK,
/developer/platform-kit/database,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/developer/platform-kit/dynamic-tables,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/developer/platform-kit/logs,bsu,authenticated,PlatformKitLogs,business-suite-unified/src/pages/Admin/PlatformKitLogs.tsx,useAuth usePermissions useQuery,audit_logs bi_metrics profiles subscriptions tenant_invitations tenants user_tenants,audit_logs=RLS_ON_OWNER_SCOPED bi_metrics=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_invitations=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,create_organization_with_owner find_orphan_owned_tenants_for_caller,platform-kit-proxy send-team-invite,platform-kit-proxy=true send-team-invite=true create-subscription=true stripe-portal=true,yes,28,0,OK,
/developer/platform-kit/secrets,bsu,authenticated,PlatformKitSecrets,business-suite-unified/src/pages/Admin/PlatformKitSecrets.tsx,useAuth useMutation usePermissions useQuery useQueryClient,profiles subscriptions user_tenants,profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,platform-kit-proxy,platform-kit-proxy=true create-subscription=true stripe-portal=true,yes,24,0,OK,
/developer/platform-kit/storage,bsu,authenticated,PlatformKitStorage,business-suite-unified/src/pages/Admin/PlatformKitStorage.tsx,useAuth usePermissions useQuery,profiles subscriptions user_tenants,profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,platform-kit-proxy,platform-kit-proxy=true create-subscription=true stripe-portal=true,yes,22,0,OK,
/developer/rate-limits,bsu,authenticated,DeveloperRateLimits,business-suite-unified/src/pages/Developer/RateLimits.tsx,useAuth useMutation useQuery useQueryClient,platform_rate_limits profiles subscriptions user_tenants,platform_rate_limits=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,platform_oauth_clients,calendar-integration email-dispatcher generate-document lead-capture rate-limit-check send-notification stripe-webhook tga-search,calendar-integration=true email-dispatcher=true generate-document=true lead-capture=true rate-limit-check=true send-notification=true stripe-webhook=true tga-search=true,yes,21,0,OK,
/developer/route-inspector,bsu,authenticated,RouteInspector,business-suite-unified/src/pages/Developer/RouteInspector.tsx,useAuth useCustomPages useDbNavRows useQuery useQueryClient useResolvedTenantId useTenantNavigation,custom_pages profiles subscriptions tenant_navigation user_tenants,custom_pages=RLS_ON_MIXED profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_navigation=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,,yes,24,0,OK,
/developer/routing,bsu,authenticated,DeveloperRouting,business-suite-unified/src/pages/Developer/Routing.tsx,useEditorProbeAck useLeadRoutingStore useMutation usePermissions useQuery useQueryClient useSensor useSensors useSortable,lead_routing_defaults lead_routing_rules profiles user_preferences user_tenants,lead_routing_defaults=RLS_ON_TENANT_SCOPED lead_routing_rules=RLS_ON_TENANT_SCOPED profiles=RLS_ON_OWNER_SCOPED user_preferences=RLS_ON_OWNER_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,subscriptions,,,,yes,28,1,OK,
/developer/tables,bsu,authenticated,Navigate,,,,,,,,,,0,0,REDIRECT,"route is a redirect, no data path of its own"
/developer/tenant,bsu,authenticated,DeveloperTenantSettings,business-suite-unified/src/pages/Developer/TenantSettings.tsx,useAuth useMutation useQueryClient useTenantSettings,profiles subscriptions tenant_settings tenants user_tenants,profiles=RLS_ON_OWNER_SCOPED subscriptions=RLS_ON_TENANT_SCOPED tenant_settings=RLS_ON_TENANT_SCOPED tenants=RLS_ON_TENANT_SCOPED user_tenants=RLS_ON_TENANT_SCOPED,,,,,yes,18,2,OK,
